country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Brazil,2020-03-26,-67.46428571428571,-31.428571428571427,-51.17857142857143,-63.0,-48.57142857142857,20.071428571428573
Brazil,2020-03-27,-65.78571428571429,-27.678571428571427,-53.785714285714285,-62.57142857142857,-45.32142857142857,20.714285714285715
Brazil,2020-03-28,-67.85714285714286,-28.0,-58.107142857142854,-62.75,-38.035714285714285,16.892857142857142
Brazil,2020-03-29,-70.10714285714286,-33.42857142857143,-61.714285714285715,-66.21428571428571,-29.892857142857142,15.392857142857142
Brazil,2020-03-30,-59.642857142857146,-25.642857142857142,-49.92857142857143,-61.357142857142854,-40.92857142857143,17.964285714285715
Brazil,2020-03-31,-57.285714285714285,-20.25,-47.42857142857143,-59.0,-41.392857142857146,17.035714285714285
Brazil,2020-04-01,-56.107142857142854,-17.464285714285715,-44.357142857142854,-58.5,-40.892857142857146,17.285714285714285
Brazil,2020-04-02,-55.75,-17.321428571428573,-43.82142857142857,-58.357142857142854,-40.75,17.535714285714285
Brazil,2020-04-03,-57.035714285714285,-14.535714285714286,-49.107142857142854,-57.42857142857143,-38.107142857142854,18.285714285714285
Brazil,2020-04-04,-60.035714285714285,-13.821428571428571,-53.714285714285715,-57.32142857142857,-31.392857142857142,14.785714285714286
Brazil,2020-04-05,-65.78571428571429,-23.785714285714285,-57.857142857142854,-62.107142857142854,-26.642857142857142,13.821428571428571
Brazil,2020-04-06,-52.142857142857146,-14.142857142857142,-46.142857142857146,-56.892857142857146,-35.642857142857146,16.214285714285715
Brazil,2020-04-07,-49.392857142857146,-8.428571428571429,-42.892857142857146,-54.32142857142857,-36.464285714285715,14.928571428571429
Brazil,2020-04-08,-49.714285714285715,-7.464285714285714,-41.035714285714285,-55.0,-37.107142857142854,15.285714285714286
Brazil,2020-04-09,-46.642857142857146,5.071428571428571,-36.07142857142857,-52.392857142857146,-39.714285714285715,14.107142857142858
Brazil,2020-04-10,-75.07142857142857,-43.57142857142857,-53.357142857142854,-71.64285714285714,-69.60714285714286,24.071428571428573
Brazil,2020-04-11,-57.25,-9.178571428571429,-51.5,-58.285714285714285,-33.857142857142854,14.678571428571429
Brazil,2020-04-12,-65.21428571428571,-25.178571428571427,-58.214285714285715,-61.964285714285715,-23.392857142857142,11.642857142857142
Brazil,2020-04-13,-51.17857142857143,-18.892857142857142,-45.25,-56.464285714285715,-33.5,15.678571428571429
Brazil,2020-04-14,-52.82142857142857,-20.321428571428573,-47.035714285714285,-57.214285714285715,-35.464285714285715,16.178571428571427
Brazil,2020-04-15,-52.214285714285715,-17.678571428571427,-43.92857142857143,-56.535714285714285,-35.357142857142854,16.678571428571427
Brazil,2020-04-16,-52.82142857142857,-15.964285714285714,-43.642857142857146,-55.535714285714285,-35.214285714285715,16.857142857142858
Brazil,2020-04-17,-53.464285714285715,-13.071428571428571,-47.82142857142857,-54.892857142857146,-32.785714285714285,17.892857142857142
Brazil,2020-04-18,-59.17857142857143,-15.464285714285714,-53.857142857142854,-55.607142857142854,-25.607142857142858,14.0
Brazil,2020-04-19,-66.0,-23.785714285714285,-57.0,-61.892857142857146,-22.714285714285715,13.428571428571429
Brazil,2020-04-20,-51.642857142857146,-13.964285714285714,-43.392857142857146,-56.67857142857143,-36.964285714285715,15.714285714285714
Brazil,2020-04-21,-69.53571428571429,-37.32142857142857,-47.892857142857146,-68.92857142857143,-62.642857142857146,21.178571428571427
Brazil,2020-04-22,-51.142857142857146,-15.428571428571429,-42.714285714285715,-54.32142857142857,-31.714285714285715,14.714285714285714
Brazil,2020-04-23,-52.892857142857146,-17.964285714285715,-42.892857142857146,-55.32142857142857,-33.035714285714285,15.928571428571429
Brazil,2020-04-24,-53.67857142857143,-15.5,-47.892857142857146,-54.107142857142854,-29.785714285714285,16.392857142857142
Brazil,2020-04-25,-56.82142857142857,-14.714285714285714,-51.464285714285715,-54.285714285714285,-23.035714285714285,13.571428571428571
Brazil,2020-04-26,-64.17857142857143,-22.785714285714285,-55.57142857142857,-60.214285714285715,-20.535714285714285,13.142857142857142
Brazil,2020-04-27,-51.214285714285715,-17.571428571428573,-45.107142857142854,-54.642857142857146,-28.464285714285715,15.535714285714286
Brazil,2020-04-28,-49.82142857142857,-14.607142857142858,-42.67857142857143,-52.607142857142854,-30.357142857142858,11.892857142857142
Brazil,2020-04-29,-49.892857142857146,-13.464285714285714,-40.035714285714285,-52.07142857142857,-30.178571428571427,15.035714285714286
Brazil,2020-04-30,-44.964285714285715,1.3571428571428572,-35.857142857142854,-47.964285714285715,-29.5,13.035714285714286
Brazil,2020-05-01,-70.0,-35.107142857142854,-47.42857142857143,-66.5,-62.785714285714285,22.5
Brazil,2020-05-02,-55.214285714285715,-6.642857142857143,-49.25,-53.642857142857146,-24.928571428571427,13.464285714285714
Brazil,2020-05-03,-63.964285714285715,-20.107142857142858,-54.57142857142857,-59.142857142857146,-19.142857142857142,12.214285714285714
Brazil,2020-05-04,-47.82142857142857,-8.107142857142858,-42.892857142857146,-51.357142857142854,-27.0,14.071428571428571
Brazil,2020-05-05,-47.464285714285715,-5.75,-42.07142857142857,-50.464285714285715,-29.178571428571427,14.178571428571429
Brazil,2020-05-06,-47.42857142857143,-4.25,-41.32142857142857,-48.607142857142854,-29.25,14.928571428571429
Brazil,2020-05-07,-45.607142857142854,-0.10714285714285714,-39.964285714285715,-48.892857142857146,-29.464285714285715,15.142857142857142
Brazil,2020-05-08,-44.714285714285715,3.892857142857143,-43.107142857142854,-46.67857142857143,-26.178571428571427,15.535714285714286
