country,date,cases
Canada,2020-05-16,53898.68217304516
Canada,2020-05-17,54000.20561411214
Canada,2020-05-18,54089.94089207762
Canada,2020-05-19,54169.22385574219
Canada,2020-05-20,54239.24630675245
Canada,2020-05-21,54301.06988035999
Canada,2020-05-22,54355.63897278495
Canada,2020-05-23,54403.79268290803
Canada,2020-05-24,54446.27576911534
Canada,2020-05-25,54483.748645766995
Canada,2020-05-26,54516.79646000006
Canada,2020-05-27,54545.93730009949
Canada,2020-05-28,54571.629592850855
Canada,2020-05-29,54594.278750225465
Canada,2020-05-30,54614.243126315596
Spain,2020-04-25,203310.40772170873
Spain,2020-04-26,204104.1039912982
Spain,2020-04-27,204790.0498500631
Spain,2020-04-28,205382.27984858843
Spain,2020-04-29,205893.1557612026
Spain,2020-04-30,206333.52449847377
Spain,2020-05-01,206712.87290126164
Spain,2020-05-02,207039.47536280353
Spain,2020-05-03,207320.5317796269
Spain,2020-05-04,207562.2944786111
Spain,2020-05-05,207770.18358963786
Spain,2020-05-06,207948.89090357305
Spain,2020-05-07,208102.4726344688
Spain,2020-05-08,208234.4317419691
Spain,2020-05-09,208347.79060371956
Spain,2020-05-10,208445.15488810415
Spain,2020-05-11,208528.7694876009
Spain,2020-05-12,208600.56734943716
Spain,2020-05-13,208662.21199544947
Spain,2020-05-14,208715.1344660594
Spain,2020-05-15,208760.56536035388
Spain,2020-05-16,208799.56257973347
Spain,2020-05-17,208833.03531932362
Spain,2020-05-18,208861.76479115852
Spain,2020-05-19,208886.42210709938
Spain,2020-05-20,208907.58369808234
Spain,2020-05-21,208925.74459977858
Spain,2020-05-22,208941.32989303328
Spain,2020-05-23,208954.70455031472
Spain,2020-05-24,208966.18190654984
Spain,2020-05-25,208976.03094379467
Spain,2020-05-26,208984.48255382746
Spain,2020-05-27,208991.73492058643
Spain,2020-05-28,208997.95814506247
Spain,2020-05-29,209003.29821846337
Spain,2020-05-30,209007.8804349012
France,2020-04-25,168300.44103677044
France,2020-04-26,170531.22228624646
France,2020-04-27,172543.074919942
France,2020-04-28,174352.54977539042
France,2020-04-29,175976.02243854044
France,2020-04-30,177429.41420893036
France,2020-05-01,178727.98497875134
France,2020-05-02,179886.1881086844
France,2020-05-03,180917.57719074373
France,2020-05-04,181834.75503706798
France,2020-05-05,182649.35608116377
France,2020-05-06,183372.0544360636
France,2020-05-07,184012.59098477213
France,2020-05-08,184579.8139886533
France,2020-05-09,185081.7287305277
France,2020-05-10,185525.55262917676
France,2020-05-11,185917.77305750645
France,2020-05-12,186264.20576730106
France,2020-05-13,186570.05237664192
France,2020-05-14,186839.95582337832
France,2020-05-15,187078.0530431191
France,2020-05-16,187288.02440696303
France,2020-05-17,187473.1396657958
France,2020-05-18,187636.3003064007
France,2020-05-19,187780.07834032716
France,2020-05-20,187906.75162834552
France,2020-05-21,188018.3358988494
France,2020-05-22,188116.61365386876
France,2020-05-23,188203.16017636948
France,2020-05-24,188279.36686120095
France,2020-05-25,188346.46209251616
France,2020-05-26,188405.52988516336
France,2020-05-27,188457.52649829027
France,2020-05-28,188503.29521763817
France,2020-05-29,188543.57948978298
France,2020-05-30,188579.03457769525
United Kingdom,2020-04-25,143461.49507481788
United Kingdom,2020-04-26,145962.94229138672
United Kingdom,2020-04-27,148201.00128814514
United Kingdom,2020-04-28,150195.6089894834
United Kingdom,2020-04-29,151967.07653529043
United Kingdom,2020-04-30,153535.51451622683
United Kingdom,2020-05-01,154920.39880907175
United Kingdom,2020-05-02,156140.26018927133
United Kingdom,2020-05-03,157212.47848022592
United Kingdom,2020-05-04,158153.161791861
United Kingdom,2020-05-05,158977.09262999578
United Kingdom,2020-05-06,159697.72470098984
United Kingdom,2020-05-07,160327.21663371252
United Kingdom,2020-05-08,160876.49128011768
United Kingdom,2020-05-09,161355.31154260974
United Kingdom,2020-05-10,161772.36570605348
United Kingdom,2020-05-11,162135.35698197395
United Kingdom,2020-05-12,162451.09339970353
United Kingdom,2020-05-13,162725.57532517493
United Kingdom,2020-05-14,162964.07878597788
United Kingdom,2020-05-15,163171.2334687808
United Kingdom,2020-05-16,163351.0947693973
United Kingdom,2020-05-17,163507.2096507152
United Kingdom,2020-05-18,163642.67632910656
United Kingdom,2020-05-19,163760.19799084603
United Kingdom,2020-05-20,163862.1308569976
United Kingdom,2020-05-21,163950.5269846429
United Kingdom,2020-05-22,164027.17222717608
United Kingdom,2020-05-23,164093.61978669834
United Kingdom,2020-05-24,164151.2197849581
United Kingdom,2020-05-25,164201.145261528
United Kingdom,2020-05-26,164244.41498322893
United Kingdom,2020-05-27,164281.91342027523
United Kingdom,2020-05-28,164314.40821441257
United Kingdom,2020-05-29,164342.565433969
United Kingdom,2020-05-30,164366.9628812521
Iraq,2020-04-25,1659.9861481008559
Iraq,2020-04-26,1669.9126164958302
Iraq,2020-04-27,1678.630321979345
Iraq,2020-04-28,1686.2756025590581
Iraq,2020-04-29,1692.9720463258093
Iraq,2020-04-30,1698.8310210136945
Iraq,2020-05-01,1703.9523749564082
Iraq,2020-05-02,1708.4252407023343
Iraq,2020-05-03,1712.3288888853754
Iraq,2020-05-04,1715.7335935635135
Iraq,2020-05-05,1718.7014812807993
Iraq,2020-05-06,1721.2873448536006
Iraq,2020-05-07,1723.5394096529017
Iraq,2020-05-08,1725.5000452811767
Iraq,2020-05-09,1727.2064193333558
Iraq,2020-05-10,1728.691092660238
Iraq,2020-05-11,1729.982557452972
Iraq,2020-05-12,1731.1057207327551
Iraq,2020-05-13,1732.0823366179702
Iraq,2020-05-14,1732.9313911767397
Iraq,2020-05-15,1733.6694438542909
Iraq,2020-05-16,1734.310929467108
Iraq,2020-05-17,1734.8684246369235
Iraq,2020-05-18,1735.3528823401275
Iraq,2020-05-19,1735.7738380036988
Iraq,2020-05-20,1736.1395903101632
Iraq,2020-05-21,1736.457359597555
Iraq,2020-05-22,1736.733426466958
Iraq,2020-05-23,1736.9732529474238
Iraq,2020-05-24,1737.1815883203858
Iraq,2020-05-25,1737.3625614758453
Iraq,2020-05-26,1737.5197614617066
Iraq,2020-05-27,1737.6563076959321
Iraq,2020-05-28,1737.7749111381788
Iraq,2020-05-29,1737.877927562413
Iraq,2020-05-30,1737.9674039334827
Japan,2020-04-25,13399.297575803323
Japan,2020-04-26,13838.789593910402
Japan,2020-04-27,14252.974447140907
Japan,2020-04-28,14641.176394193388
Japan,2020-04-29,15003.161236608188
Japan,2020-04-30,15339.08640128315
Japan,2020-05-01,15649.444880901754
Japan,2020-05-02,15935.00679589871
Japan,2020-05-03,16196.761712292278
Japan,2020-05-04,16435.8641286109
Japan,2020-05-05,16653.583822276734
Japan,2020-05-06,16851.262085609837
Japan,2020-05-07,17030.274322851837
Japan,2020-05-08,17191.999039002527
Japan,2020-05-09,17337.79292887934
Japan,2020-05-10,17468.97155969997
Japan,2020-05-11,17586.795015685075
Japan,2020-05-12,17692.45781956261
Japan,2020-05-13,17787.082444828025
Japan,2020-05-14,17871.715767680726
Japan,2020-05-15,17947.32786508177
Japan,2020-05-16,18014.812634742557
Japan,2020-05-17,18074.989786253784
Japan,2020-05-18,18128.607824608607
Japan,2020-05-19,18176.347714621097
Japan,2020-05-20,18218.826975240165
Japan,2020-05-21,18256.60400564111
Japan,2020-05-22,18290.18249011909
Japan,2020-05-23,18320.015766568064
Japan,2020-05-24,18346.51107434324
Japan,2020-05-25,18370.033622350526
Japan,2020-05-26,18390.91043810126
Japan,2020-05-27,18409.433974008538
Japan,2020-05-28,18425.86545912038
Japan,2020-05-29,18440.43799344175
Japan,2020-05-30,18453.359388564964
Germany,2020-04-25,149788.21169342427
Germany,2020-04-26,150273.1309099688
Germany,2020-04-27,150689.8529254726
Germany,2020-04-28,151047.66253909815
Germany,2020-04-29,151354.66267922567
Germany,2020-04-30,151617.90240758826
Germany,2020-05-01,151843.49747010184
Germany,2020-05-02,152036.74172823728
Germany,2020-05-03,152202.20869219027
Germany,2020-05-04,152343.8429963871
Germany,2020-05-05,152465.0420731747
Germany,2020-05-06,152568.72854417868
Germany,2020-05-07,152657.41400220498
Germany,2020-05-08,152733.25493175216
Germany,2020-05-09,152798.1015374739
Germany,2020-05-10,152853.5402353435
Germany,2020-05-11,152900.93052399938
Germany,2020-05-12,152941.4369032379
Germany,2020-05-13,152976.05644947468
Germany,2020-05-14,153005.6425987429
Germany,2020-05-15,153030.9256294164
Germany,2020-05-16,153052.5302812189
Germany,2020-05-17,153070.99089530326
Germany,2020-05-18,153086.7644128138
Germany,2020-05-19,153100.24152655745
Germany,2020-05-20,153111.7562421599
Germany,2020-05-21,153121.59407115105
Germany,2020-05-22,153129.99904852096
Germany,2020-05-23,153137.17974106697
Germany,2020-05-24,153143.31438996067
Germany,2020-05-25,153148.55531104346
Germany,2020-05-26,153153.03265908096
Germany,2020-05-27,153156.85764724953
Germany,2020-05-28,153160.12530021032
Germany,2020-05-29,153162.91680798848
Germany,2020-05-30,153165.30153828234
Brazil,2020-04-25,54704.772505031906
Brazil,2020-04-26,57171.739334569625
Brazil,2020-04-27,59545.65861938684
Brazil,2020-04-28,61814.85370284239
Brazil,2020-04-29,63970.15677785666
Brazil,2020-04-30,66004.92088552727
Brazil,2020-05-01,67914.93116604259
Brazil,2020-05-02,69698.23421512228
Brazil,2020-05-03,71354.9069961678
Brazil,2020-05-04,72886.78699887739
Brazil,2020-05-05,74297.18370395678
Brazil,2020-05-06,75590.58851011415
Brazil,2020-05-07,76772.39670084223
Brazil,2020-05-08,77848.65128719225
Brazil,2020-05-09,78825.8150436636
Brazil,2020-05-10,79710.57400466174
Brazil,2020-05-11,80509.67323190124
Brazil,2020-05-12,81229.78382424566
Brazil,2020-05-13,81877.39887898404
Brazil,2020-05-14,82458.75534627176
Brazil,2020-05-15,82979.77834836792
Brazil,2020-05-16,83446.04446353445
Brazil,2020-05-17,83862.76061136744
Brazil,2020-05-18,84234.75544656093
Brazil,2020-05-19,84566.48051219426
Brazil,2020-05-20,84862.01877733646
Brazil,2020-05-21,85125.09855610806
Brazil,2020-05-22,85359.11115622056
Brazil,2020-05-23,85567.13092269211
Brazil,2020-05-24,85751.93662133432
Brazil,2020-05-25,85916.03334539251
Brazil,2020-05-26,86061.6743288699
Brazil,2020-05-27,86190.88221468471
Brazil,2020-05-28,86305.46945886711
Brazil,2020-05-29,86407.0576577512
Brazil,2020-05-30,86497.095667738
