country,population,population_density
Sweden,10036.391,24.459
Switzerland,8591.360999999999,217.415
Syrian Arab Republic,17070.131999999998,92.959
Tajikistan,9321.023000000001,66.598
Thailand,69625.58099999999,136.283
Timor-Leste,1293.12,86.962
Togo,8082.359,148.6
Tokelau,1.33,133.0
Tonga,104.49700000000001,145.135
Trinidad and Tobago,1394.969,271.92400000000004
Tunisia,11694.721000000001,75.275
Turkey,83429.607,108.402
Turkmenistan,5942.094,12.645
Turks and Caicos Islands,38.194,40.204
Tuvalu,11.655,388.5
UN-ECE: member countries,1296680.5929999999,28.636
UNFPA Regions,6358800.278,80.319
UNFPA: Arab States (AS),370070.43299999996,38.095
UNFPA: Asia and the Pacific (AP),4047949.107,181.40400000000002
UNFPA: East and Southern Africa (ESA),601481.415,49.391000000000005
UNFPA: Eastern Europe and Central Asia (EECA),248170.83399999997,42.183
UNFPA: Latin America and the Caribbean (LAC),644001.843,32.147
UNFPA: West and Central Africa (WCA),447126.646,49.424
UNICEF PROGRAMME REGIONS,6440543.873,78.708
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2129737.711,133.82399999999998
UNICEF Programme Regions: Eastern Caribbean,2397.2270000000003,248.675
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),528864.083,50.193999999999996
UNICEF Programme Regions: Europe and Central Asia (CEECIS),279293.79600000003,44.393
UNICEF Programme Regions: Latin America,640775.552,32.019
UNICEF Programme Regions: Latin America and Caribbean (LACRO),643172.779,32.124
UNICEF Programme Regions: Middle East and North Africa (MENARO),490260.787,37.773
UNICEF Programme Regions: South Asia (ROSA),1835297.503,384.631
UNICEF Programme Regions: West and Central Africa (WCARO),533917.214,47.192
UNICEF REGIONS,7713468.205,59.291000000000004
UNICEF Regions: East Asia and Pacific,2376751.014,97.45700000000001
UNICEF Regions: Eastern Europe and Central Asia,425166.05600000004,18.756
UNICEF Regions: Eastern and Southern Africa,575173.373,46.648999999999994
UNICEF Regions: Europe and Central Asia,922025.316,34.122
UNICEF Regions: Latin America and Caribbean,648120.956,32.181999999999995
UNICEF Regions: Middle East and North Africa,455575.82399999996,39.689
UNICEF Regions: North America,366600.94399999996,19.655
UNICEF Regions: South Asia,1835297.503,384.631
UNICEF Regions: Sub-Saharan Africa,1109096.648,46.908
UNICEF Regions: West and Central Africa,533923.275,47.191
UNICEF Regions: Western Europe,496859.26,114.14299999999999
UNITED NATIONS Regional Groups of Member States,7707903.418,59.373000000000005
Uganda,44269.587,221.558
Ukraine,43993.643,75.94
United Arab Emirates,9770.526,116.87200000000001
United Kingdom,67530.161,279.131
United Kingdom (and dependencies),68045.69900000001,264.934
United Nations Economic Commission for Africa (UN-ECA),1306320.572,44.464
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),648117.584,32.201
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4590691.95,88.272
United Nations Member States,7707903.51,59.373000000000005
United Republic of Tanzania,58005.460999999996,65.484
United States Virgin Islands,104.579,298.797
United States,329064.917,35.974000000000004
United States of America (and dependencies),332382.72,36.295
Upper-middle-income countries,2638958.43,47.516000000000005
Uruguay,3461.7309999999998,19.779
Uzbekistan,32981.715,77.531
Vanuatu,299.882,24.601
Venezuela (Bolivarian Republic of),28515.828999999998,32.329
Viet Nam,96462.10800000001,311.098
WB region: East Asia and Pacific (excluding high income),2129754.531,133.83100000000002
WB region: Europe and Central Asia (excluding high income),421035.75700000004,18.62
WB region: Latin America and Caribbean (excluding high income),569811.869,34.991
WB region: Middle East and North Africa (excluding high income),389753.191,45.105
WB region: South Asia (excluding high income),1835297.503,384.631
WB region: Sub-Saharan Africa (excluding high income),1106864.2040000001,46.867
WHO Regions,7668888.226,59.34
WHO: African region (AFRO),1091758.856,46.247
WHO: Americas (AMRO),1009950.13,26.389
WHO: Eastern Mediterranean Region (EMRO),712276.291,56.34
WHO: European Region (EURO),930166.618,34.399
WHO: South-East Asia region (SEARO),2001946.2769999998,309.953
WHO: Western Pacific region (WPRO),1922790.054,90.626
Wallis and Futuna Islands,11.436,81.686
West African Economic and Monetary Union (UEMOA),127107.46800000001,36.67
Western Africa,391440.14700000006,64.551
Western Asia,275324.793,57.299
Western Europe,195522.41199999998,180.239
Western European and Others Group (WEOG),919088.423,29.497
Western Sahara,582.4580000000001,2.19
World,7713468.205,59.291000000000004
World Bank Regional Groups (developing only),6452517.055,70.258
Yemen,29161.922000000002,55.233999999999995
Zambia,17861.034,24.026
Zimbabwe,14645.473,37.858000000000004
